Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Release Date,Directors,Your Rating,Date Rated
tt11214558,2024-05-22,2024-05-22,,The Smashing Machine,The Smashing Machine,https://www.imdb.com/title/tt11214558/,Movie,7.1,123,2025,"Action, Biography, Drama, History, Sport",2025-10-03,Benny Safdie,,
tt16911616,2024-05-26,2024-05-26,,Animal Friends,Animal Friends,https://www.imdb.com/title/tt16911616/,Movie,,,2026,"Action, Adventure, Comedy",2026-05-01,Peter Atencio,,
tt32321050,2024-05-28,2024-05-28,,The Bookie & the Bruiser,The Bookie & the Bruiser,https://www.imdb.com/title/tt32321050/,Movie,,,,"Crime, Thriller",,S. Craig Zahler,,
tt24950660,2024-05-29,2024-05-29,,Eternity,Eternity,https://www.imdb.com/title/tt24950660/,Movie,7.1,112,2025,"Comedy, Drama, Fantasy, Romance",2025-11-26,David Freyne,,
tt12042730,2024-06-05,2024-06-05,,Project Hail Mary,Project Hail Mary,https://www.imdb.com/title/tt12042730/,Movie,,,2026,Sci-Fi,2026-03-20,"Phil Lord, Christopher Miller",,
tt10799690,2024-06-06,2024-06-06,,Trap House,Trap House,https://www.imdb.com/title/tt10799690/,Movie,,,2025,Action,2025-11-14,Michael Dowse,,
tt28014327,2024-06-06,2024-06-06,,Mayday,Mayday,https://www.imdb.com/title/tt28014327/,Movie,,,,"Action, Adventure, Comedy",,"John Francis Daley, Jonathan Goldstein",,
tt32604452,2024-06-13,2024-06-13,,The Prince,The Prince,https://www.imdb.com/title/tt32604452/,Movie,,,,Drama,,Cameron Van Hoy,,
tt32536315,2024-06-19,2024-06-19,,Blue Moon,Blue Moon,https://www.imdb.com/title/tt32536315/,Movie,7.3,100,2025,"Biography, Comedy, Drama, History, Music, Romance",2025-10-24,Richard Linklater,,
tt18392014,2024-07-11,2024-07-11,,Play Dirty,Play Dirty,https://www.imdb.com/title/tt18392014/,Movie,6.0,125,2025,"Action, Crime, Drama, Thriller",2025-10-01,Shane Black,,
tt4357198,2024-07-22,2024-07-22,,Huntington,Huntington,https://www.imdb.com/title/tt4357198/,Movie,,,,"Comedy, Drama, Thriller",,John Patton Ford,,
tt31425731,2024-08-02,2024-08-02,,Playdate,Playdate,https://www.imdb.com/title/tt31425731/,Movie,,,2025,"Action, Comedy",2025-11-12,Luke Greenfield,,
